booking_id,customer_id,room_id,check_in,check_out,status,created_at
1,198,165,2023-12-26,2024-01-02,Cancelled,2023-12-26
2,466,32,2023-09-02,2023-09-12,Pending,2023-09-02
3,131,15,2024-06-03,2024-06-07,Pending,2024-06-03
4,138,17,2023-05-26,2023-05-30,Cancelled,2023-05-26
5,50,178,2024-04-19,2024-04-28,Confirmed,2024-04-19
6,408,188,2024-03-05,2024-03-08,Pending,2024-03-05
7,309,112,2023-08-04,2023-08-06,Pending,2023-08-04
8,441,9,2023-02-24,2023-03-05,Cancelled,2023-02-24
9,116,46,2023-07-14,2023-07-22,Cancelled,2023-07-14
10,180,36,2024-04-03,2024-04-05,Cancelled,2024-04-03
11,57,198,2024-01-13,2024-01-14,Confirmed,2024-01-13
12,228,60,2024-01-16,2024-01-28,Confirmed,2024-01-16
13,355,51,2023-12-18,2023-12-23,Cancelled,2023-12-18
14,159,61,2023-03-06,2023-03-09,Pending,2023-03-06
15,280,140,2024-05-17,2024-05-30,Pending,2024-05-17
16,362,101,2025-02-01,2025-02-11,Confirmed,2025-02-01
17,338,28,2023-10-09,2023-10-15,Cancelled,2023-10-09
18,384,79,2023-03-21,2023-03-22,Cancelled,2023-03-21
19,455,10,2023-12-04,2023-12-16,Pending,2023-12-04
20,248,160,2024-03-26,2024-04-06,Confirmed,2024-03-26
21,311,200,2024-06-14,2024-06-19,Cancelled,2024-06-14
22,278,80,2024-03-31,2024-04-14,Cancelled,2024-03-31
23,121,113,2023-12-03,2023-12-05,Pending,2023-12-03
24,285,106,2024-09-03,2024-09-04,Cancelled,2024-09-03
25,494,142,2024-01-18,2024-01-22,Pending,2024-01-18
26,227,183,2023-03-29,2023-04-03,Pending,2023-03-29
27,364,98,2024-11-02,2024-11-13,Cancelled,2024-11-02
28,214,159,2023-04-08,2023-04-20,Pending,2023-04-08
29,106,109,2023-03-11,2023-03-23,Confirmed,2023-03-11
30,165,111,2023-05-13,2023-05-25,Pending,2023-05-13
31,446,125,2023-11-17,2023-11-28,Pending,2023-11-17
32,176,186,2024-07-24,2024-07-29,Pending,2024-07-24
33,475,41,2024-07-31,2024-08-05,Cancelled,2024-07-31
34,243,155,2024-12-13,2024-12-16,Cancelled,2024-12-13
35,464,122,2024-09-17,2024-10-01,Cancelled,2024-09-17
36,71,48,2023-07-05,2023-07-16,Cancelled,2023-07-05
37,305,86,2024-06-16,2024-06-27,Confirmed,2024-06-16
38,358,89,2023-02-28,2023-03-03,Cancelled,2023-02-28
39,387,145,2024-10-10,2024-10-22,Confirmed,2024-10-10
40,263,93,2023-11-06,2023-11-08,Cancelled,2023-11-06
41,180,142,2024-06-14,2024-06-15,Pending,2024-06-14
42,1,5,2024-05-10,2024-05-24,Cancelled,2024-05-10
43,170,5,2024-10-22,2024-10-30,Pending,2024-10-22
44,9,30,2025-01-05,2025-01-18,Confirmed,2025-01-05
45,80,73,2023-12-14,2023-12-15,Confirmed,2023-12-14
46,383,69,2024-08-07,2024-08-18,Confirmed,2024-08-07
47,164,38,2024-11-01,2024-11-14,Pending,2024-11-01
48,106,30,2024-10-04,2024-10-16,Cancelled,2024-10-04
49,203,89,2023-09-01,2023-09-06,Pending,2023-09-01
50,472,46,2024-04-30,2024-05-09,Pending,2024-04-30
51,441,95,2023-02-24,2023-02-27,Pending,2023-02-24
52,271,39,2024-02-14,2024-02-18,Pending,2024-02-14
53,221,118,2023-08-08,2023-08-15,Confirmed,2023-08-08
54,430,42,2025-02-03,2025-02-09,Cancelled,2025-02-03
55,299,14,2024-11-24,2024-12-03,Cancelled,2024-11-24
56,3,85,2025-02-08,2025-02-15,Pending,2025-02-08
57,332,54,2024-12-28,2025-01-05,Confirmed,2024-12-28
58,487,12,2024-02-19,2024-02-25,Pending,2024-02-19
59,69,33,2023-11-19,2023-12-03,Pending,2023-11-19
60,436,31,2024-03-09,2024-03-19,Pending,2024-03-09
61,338,199,2023-04-26,2023-05-01,Cancelled,2023-04-26
62,235,129,2024-11-20,2024-11-21,Cancelled,2024-11-20
63,219,67,2023-04-03,2023-04-05,Cancelled,2023-04-03
64,53,96,2024-03-24,2024-04-02,Pending,2024-03-24
65,69,28,2024-08-22,2024-08-26,Cancelled,2024-08-22
66,140,13,2024-04-02,2024-04-04,Cancelled,2024-04-02
67,482,168,2023-07-20,2023-07-23,Pending,2023-07-20
68,203,150,2024-11-11,2024-11-23,Confirmed,2024-11-11
69,93,123,2025-01-02,2025-01-08,Cancelled,2025-01-02
70,145,101,2023-07-15,2023-07-16,Confirmed,2023-07-15
71,281,17,2023-05-01,2023-05-10,Pending,2023-05-01
72,414,70,2023-04-30,2023-05-08,Cancelled,2023-04-30
73,127,170,2024-04-29,2024-05-03,Cancelled,2024-04-29
74,316,1,2023-04-26,2023-04-29,Pending,2023-04-26
75,407,40,2024-02-24,2024-03-09,Cancelled,2024-02-24
76,468,130,2024-12-24,2025-01-04,Pending,2024-12-24
77,81,110,2023-05-28,2023-06-07,Cancelled,2023-05-28
78,57,166,2024-01-03,2024-01-17,Cancelled,2024-01-03
79,154,4,2024-02-03,2024-02-13,Cancelled,2024-02-03
80,249,191,2024-02-28,2024-03-09,Confirmed,2024-02-28
81,115,137,2023-12-20,2024-01-03,Confirmed,2023-12-20
82,127,103,2023-06-08,2023-06-13,Confirmed,2023-06-08
83,360,173,2024-07-08,2024-07-18,Pending,2024-07-08
84,284,13,2023-04-06,2023-04-15,Cancelled,2023-04-06
85,426,111,2023-12-02,2023-12-13,Cancelled,2023-12-02
86,198,126,2024-06-11,2024-06-13,Confirmed,2024-06-11
87,338,124,2023-08-23,2023-08-24,Confirmed,2023-08-23
88,198,41,2023-03-01,2023-03-14,Cancelled,2023-03-01
89,261,5,2024-09-04,2024-09-16,Cancelled,2024-09-04
90,360,121,2025-01-11,2025-01-20,Confirmed,2025-01-11
91,116,143,2023-05-09,2023-05-11,Cancelled,2023-05-09
92,192,4,2024-07-30,2024-08-10,Confirmed,2024-07-30
93,195,115,2024-03-17,2024-03-21,Confirmed,2024-03-17
94,50,133,2024-11-11,2024-11-20,Confirmed,2024-11-11
95,249,138,2023-03-10,2023-03-19,Cancelled,2023-03-10
96,211,173,2023-03-26,2023-03-29,Pending,2023-03-26
97,35,20,2024-08-01,2024-08-06,Cancelled,2024-08-01
98,380,83,2024-05-06,2024-05-15,Cancelled,2024-05-06
99,436,146,2023-09-02,2023-09-10,Confirmed,2023-09-02
100,107,57,2024-01-19,2024-02-02,Cancelled,2024-01-19
101,69,49,2023-12-17,2023-12-30,Cancelled,2023-12-17
102,156,98,2023-03-26,2023-04-05,Pending,2023-03-26
103,98,34,2023-10-01,2023-10-07,Confirmed,2023-10-01
104,470,172,2024-05-05,2024-05-13,Pending,2024-05-05
105,40,5,2023-03-15,2023-03-23,Confirmed,2023-03-15
106,68,109,2024-05-26,2024-06-01,Cancelled,2024-05-26
107,203,136,2023-04-29,2023-05-10,Cancelled,2023-04-29
108,466,12,2025-01-07,2025-01-10,Pending,2025-01-07
109,147,28,2025-02-07,2025-02-09,Confirmed,2025-02-07
110,51,176,2024-12-22,2024-12-31,Pending,2024-12-22
111,312,129,2024-02-25,2024-02-27,Cancelled,2024-02-25
112,117,145,2024-07-03,2024-07-17,Pending,2024-07-03
113,441,127,2023-07-14,2023-07-17,Confirmed,2023-07-14
114,114,115,2024-09-19,2024-09-20,Cancelled,2024-09-19
115,20,193,2024-12-27,2025-01-08,Pending,2024-12-27
116,47,83,2024-06-12,2024-06-19,Cancelled,2024-06-12
117,335,100,2024-10-24,2024-10-28,Cancelled,2024-10-24
118,470,144,2023-04-03,2023-04-06,Pending,2023-04-03
119,152,26,2023-03-30,2023-04-07,Pending,2023-03-30
120,264,19,2024-12-06,2024-12-16,Cancelled,2024-12-06
121,127,184,2024-02-06,2024-02-09,Pending,2024-02-06
122,343,131,2023-07-29,2023-08-03,Confirmed,2023-07-29
123,223,194,2023-12-25,2024-01-06,Pending,2023-12-25
124,113,46,2024-06-06,2024-06-08,Cancelled,2024-06-06
125,144,181,2024-05-01,2024-05-04,Confirmed,2024-05-01
126,350,185,2024-02-14,2024-02-19,Confirmed,2024-02-14
127,11,191,2024-04-09,2024-04-22,Confirmed,2024-04-09
128,362,119,2024-08-04,2024-08-16,Confirmed,2024-08-04
129,172,28,2023-06-08,2023-06-14,Cancelled,2023-06-08
130,365,106,2024-04-04,2024-04-05,Confirmed,2024-04-04
