payment_id,booking_id,amount,payment_method,payment_date
1,1172,1858,Credit Card,2023-12-20
2,2311,1275,PayPal,2024-05-23
3,651,216,Bank Transfer,2023-11-28
4,3016,1407,Crypto,2024-12-28
5,3516,1961,PayPal,2023-03-11
6,4081,533,PayPal,2023-12-10
7,2408,178,Credit Card,2023-06-23
8,3677,333,Crypto,2024-11-25
9,4029,1493,PayPal,2023-07-15
10,3592,1530,Cash,2023-03-20
11,1284,1619,Cash,2023-12-06
12,2236,104,PayPal,2024-01-21
13,3032,1805,Credit Card,2023-02-28
14,3502,726,Crypto,2024-04-27
15,2419,92,PayPal,2023-10-16
16,3366,372,PayPal,2024-10-26
17,3967,1696,Crypto,2024-07-26
18,3835,1764,PayPal,2024-11-21
19,1959,1451,Credit Card,2024-01-30
20,696,594,PayPal,2024-11-10
21,3325,1747,Cash,2025-01-29
22,1579,1795,Credit Card,2024-12-26
23,3928,752,Credit Card,2024-11-06
24,3083,440,Crypto,2024-03-26
25,119,1986,PayPal,2023-09-05
26,3924,1088,Cash,2023-06-07
27,1968,280,Bank Transfer,2023-12-20
28,2032,1888,Cash,2025-01-09
29,809,201,PayPal,2024-01-09
30,4921,459,Crypto,2024-03-31
31,3627,797,Bank Transfer,2023-04-11
32,2784,1803,Credit Card,2024-01-21
33,1465,1835,Cash,2024-02-12
34,3769,94,Credit Card,2023-12-25
35,2657,891,Crypto,2025-01-09
36,3791,737,Cash,2024-04-20
37,747,644,PayPal,2025-02-01
38,2485,1455,Bank Transfer,2024-01-27
39,641,1107,Crypto,2023-09-09
40,548,670,Cash,2024-12-25
41,3689,1370,Credit Card,2023-07-28
42,3739,646,Credit Card,2024-08-09
43,4298,1900,Credit Card,2024-07-14
44,1007,1460,Crypto,2024-06-13
45,4819,1552,Cash,2023-02-27
46,1566,1037,Cash,2023-12-10
47,4607,234,PayPal,2024-05-11
48,1431,340,Crypto,2023-03-12
49,1001,1173,PayPal,2025-01-31
50,327,1730,Credit Card,2025-01-06
51,3970,1766,Bank Transfer,2023-11-19
52,519,1687,PayPal,2023-08-04
53,2934,159,Crypto,2023-07-08
54,2842,980,Cash,2024-08-01
55,4755,155,Credit Card,2023-09-04
56,4818,538,Crypto,2023-03-09
57,491,866,Bank Transfer,2023-07-20
58,3570,115,PayPal,2023-08-30
59,1290,317,Credit Card,2024-10-15
60,631,861,Crypto,2024-06-23
61,1195,396,PayPal,2024-03-31
62,641,1548,PayPal,2024-10-11
63,1298,417,PayPal,2023-06-14
64,3306,191,Bank Transfer,2024-01-19
65,748,1566,Bank Transfer,2023-10-09
66,2760,248,Credit Card,2024-07-20
67,3488,704,Cash,2023-04-16
68,870,1632,Bank Transfer,2024-04-05
69,965,1165,Cash,2024-03-08
70,1447,1689,Bank Transfer,2023-10-31
71,4684,1291,Crypto,2024-05-11
72,1759,160,Credit Card,2024-04-25
73,4197,1480,Crypto,2024-04-20
74,4085,826,Crypto,2024-11-29
75,1076,832,Credit Card,2024-01-24
76,1821,1311,Bank Transfer,2023-09-26
77,339,1132,Credit Card,2023-08-24
78,78,1685,Cash,2024-12-25
79,1159,1841,Credit Card,2023-05-24
80,1639,1821,Credit Card,2023-04-06
81,2911,381,PayPal,2024-08-20
82,416,1022,PayPal,2024-09-08
83,2840,482,Bank Transfer,2024-12-29
84,3983,1205,Credit Card,2024-06-22
85,4258,1280,Bank Transfer,2024-11-02
86,3335,1567,Bank Transfer,2023-05-21
87,67,904,Crypto,2023-07-26
88,416,1135,Cash,2024-01-11
89,2025,885,Cash,2025-01-28
90,3502,1262,Bank Transfer,2023-10-06
91,1971,427,Bank Transfer,2024-05-02
92,4735,1311,Crypto,2023-06-01
93,4200,1582,Crypto,2024-05-15
94,1596,1697,Credit Card,2024-07-29
95,325,310,Credit Card,2023-12-07
96,4294,955,Bank Transfer,2023-12-10
97,1471,432,Credit Card,2023-11-15
98,2980,491,Credit Card,2024-11-18
99,4873,1003,Crypto,2023-11-22
100,3010,1382,Cash,2023-12-11
101,4435,284,Credit Card,2024-11-10
102,4633,129,Credit Card,2024-01-02
103,3112,298,Cash,2024-10-26
104,3893,1819,Bank Transfer,2023-10-16
105,4520,1524,Credit Card,2024-10-12
106,2286,636,Crypto,2025-01-26
107,4969,712,Bank Transfer,2024-05-06
108,897,545,Bank Transfer,2023-11-12
109,195,674,PayPal,2023-11-05
110,2012,549,Bank Transfer,2024-02-12
111,1929,1903,PayPal,2024-09-04
112,616,820,Cash,2023-06-02
113,4749,97,Cash,2024-07-27
114,2460,1072,Credit Card,2024-09-15
115,2524,1911,Bank Transfer,2024-09-01
116,1812,427,Bank Transfer,2023-06-14
117,3284,130,Cash,2023-07-24
118,3355,621,Crypto,2023-02-25
119,3598,1035,Crypto,2023-05-28
120,1044,467,Credit Card,2023-11-14
121,3702,1433,Credit Card,2025-02-09
122,1807,1926,PayPal,2024-03-27
123,2483,1274,Crypto,2023-11-20
124,4077,1753,Crypto,2024-04-10
125,4261,884,PayPal,2023-09-14
126,4462,1231,PayPal,2023-08-14
127,1615,1195,Crypto,2023-11-01
128,686,1851,Cash,2023-05-27
129,4249,1408,PayPal,2023-12-01
130,3478,1334,Crypto,2025-01-05
131,790,894,Credit Card,2023-11-22
132,3635,590,PayPal,2024-05-04
133,333,1525,PayPal,2023-09-20
134,3059,1763,Crypto,2023-11-03
135,3966,67,Crypto,2024-12-13
136,4716,1558,Credit Card,2023-03-01
137,4390,186,PayPal,2024-11-03
138,576,1072,PayPal,2023-04-23
139,2007,1002,Cash,2025-01-23
140,136,615,Cash,2024-11-03
141,4765,1641,Credit Card,2023-03-06
142,2153,1477,PayPal,2024-11-09
143,2477,326,Bank Transfer,2024-09-14
144,1334,1374,Bank Transfer,2023-12-16
145,3249,320,Bank Transfer,2023-03-27
146,3093,609,PayPal,2024-04-19
147,2493,811,Credit Card,2024-04-21
148,3688,1215,Bank Transfer,2023-11-15
149,814,856,Cash,2024-01-24
150,4841,1222,Credit Card,2023-06-06
151,1629,888,Cash,2024-09-21
152,980,765,Bank Transfer,2024-11-11
153,4229,1114,Crypto,2023-10-21
154,561,1324,PayPal,2023-09-05
155,1025,1930,PayPal,2024-08-28
156,3906,1791,Credit Card,2024-11-29
157,1590,283,Crypto,2024-06-28
158,3130,868,Cash,2024-08-26
159,4052,1388,Crypto,2023-06-17
160,4360,218,Crypto,2024-06-14
161,4445,521,Crypto,2024-12-18
162,1549,1206,Bank Transfer,2024-07-26
163,2568,1052,PayPal,2024-09-30
164,410,1777,Bank Transfer,2024-11-25
165,1728,1772,PayPal,2023-06-17
166,4918,1052,Bank Transfer,2023-04-14
167,4764,1632,Bank Transfer,2024-10-12
168,3765,1712,PayPal,2024-09-04
169,2183,925,Bank Transfer,2024-11-26
170,2376,1658,Crypto,2024-07-23
171,4284,1147,Cash,2024-10-15
172,3195,1371,Crypto,2024-06-14
173,4223,1633,Crypto,2024-11-12
174,208,833,Bank Transfer,2024-03-04
175,3214,1922,Bank Transfer,2024-03-26
176,2651,602,Cash,2024-08-21
177,4097,1722,Cash,2023-02-25
178,837,1627,Cash,2024-06-10
179,4381,1169,PayPal,2023-04-20
180,94,1207,Cash,2023-11-23
181,4196,1395,Cash,2024-01-31
182,2463,343,Cash,2024-07-30
183,696,238,Cash,2024-12-09
184,1726,487,Crypto,2024-09-22
185,2282,1277,PayPal,2024-09-16
186,1262,1976,Credit Card,2024-05-05
187,905,387,PayPal,2024-04-15
188,280,355,Bank Transfer,2023-06-26
189,186,395,Bank Transfer,2024-09-02
190,182,1947,PayPal,2024-01-20
191,4038,91,Bank Transfer,2023-07-19
192,2953,1276,Bank Transfer,2023-06-17
193,869,1987,PayPal,2024-03-31
194,4779,668,PayPal,2024-06-15
195,4394,706,PayPal,2024-08-17
196,3315,1900,PayPal,2024-02-24
197,3748,843,Credit Card,2023-11-05
198,457,405,Credit Card,2023-09-30
199,1118,1758,Crypto,2023-10-23
200,1958,215,Crypto,2023-10-16
201,2564,1029,Crypto,2023-09-05
202,4691,1394,Cash,2023-05-01
203,1156,872,Bank Transfer,2024-01-15
204,3437,540,Crypto,2024-11-02
205,737,1753,PayPal,2024-05-04
206,3463,1537,Credit Card,2024-02-22
207,1603,1477,Crypto,2025-02-10
208,911,1017,Cash,2024-06-01
209,1071,1064,Cash,2024-09-17
210,107,131,PayPal,2024-03-07
211,1738,547,Cash,2024-05-30
212,2015,1965,Cash,2024-06-20
213,934,857,PayPal,2024-04-03
214,2863,815,Crypto,2024-04-22
215,51,1821,Bank Transfer,2024-05-08
