usage_id,booking_id,service_id,quantity,total_price
1,4536,8,5,480
2,4689,9,2,212
3,4754,8,1,96
4,3544,3,3,390
5,3790,6,3,81
6,3793,7,4,344
7,1751,6,4,108
8,1324,5,3,372
9,4474,6,4,108
10,238,1,1,112
11,4333,1,5,560
12,4158,5,5,620
13,3258,8,2,192
14,4660,2,1,82
15,479,1,1,112
16,118,6,1,27
17,290,9,1,106
18,4484,3,4,520
19,692,2,3,246
20,1855,4,1,23
21,886,9,3,318
22,4850,8,4,384
23,1883,3,4,520
24,3784,3,1,130
25,3670,3,4,520
26,2199,9,2,212
27,779,5,5,620
28,3825,3,3,390
29,2674,6,4,108
30,45,4,4,92
31,1454,6,5,135
32,2610,9,1,106
33,1911,2,4,328
34,191,6,4,108
35,4538,8,4,384
36,1385,4,5,115
37,834,8,2,192
38,3302,6,5,135
39,476,2,4,328
40,2450,9,1,106
41,4306,1,5,560
42,4987,7,5,430
43,2435,6,1,27
44,3355,5,2,248
45,4884,9,4,424
46,55,2,4,328
47,4988,4,5,115
48,2753,8,4,384
49,4799,2,4,328
50,1852,4,3,69
51,3085,7,1,86
52,2357,8,4,384
53,1248,8,1,96
54,3881,9,2,212
55,33,6,3,81
56,4558,4,4,92
57,4743,1,4,448
58,549,8,1,96
59,4254,3,1,130
60,197,9,1,106
61,699,5,4,496
62,2862,8,5,480
63,748,8,4,384
64,1817,8,4,384
65,71,8,2,192
66,3791,3,3,390
67,1071,8,1,96
68,2103,1,2,224
69,1783,6,1,27
70,1242,6,5,135
71,2860,3,4,520
72,1101,6,5,135
73,4062,2,1,82
74,3350,7,2,172
75,291,7,2,172
76,3539,6,1,27
77,2446,3,4,520
78,3907,3,4,520
79,450,8,4,384
80,463,2,1,82
81,4149,5,2,248
82,2314,2,2,164
83,3360,6,2,54
84,548,5,2,248
85,835,6,5,135
86,4696,3,3,390
87,1301,4,4,92
88,3020,2,3,246
89,1233,6,1,27
90,4162,3,2,260
91,3903,5,1,124
92,3837,5,3,372
93,2581,5,2,248
94,1486,2,4,328
95,3747,4,1,23
96,2090,5,4,496
97,2464,9,5,530
98,2833,2,2,164
99,533,5,2,248
100,4689,3,4,520
101,2253,3,5,650
102,3673,8,5,480
103,1979,4,4,92
104,4673,8,2,192
105,1436,6,1,27
106,2485,6,1,27
107,2919,4,1,23
108,551,1,5,560
109,4605,3,1,130
110,3731,3,1,130
111,75,2,1,82
112,1721,3,5,650
113,3589,6,1,27
114,1659,8,2,192
115,1276,5,2,248
116,1239,1,2,224
117,2145,8,5,480
118,880,2,2,164
119,2402,3,3,390
120,842,7,4,344
121,4974,7,1,86
122,3184,8,1,96
123,2855,5,5,620
124,2366,9,4,424
125,3062,6,2,54
126,3987,8,1,96
127,1965,8,3,288
128,3539,5,2,248
129,2211,9,2,212
130,1386,6,3,81
131,1894,2,2,164
132,3971,6,2,54
133,2413,3,3,390
134,3922,4,5,115
135,2643,1,1,112
136,4525,4,2,46
137,1029,1,5,560
138,4980,6,5,135
139,1676,6,2,54
140,4215,8,3,288
141,4775,2,4,328
142,233,3,1,130
143,2088,4,5,115
144,2230,1,4,448
145,3400,9,3,318
146,1651,6,1,27
147,74,3,1,130
148,1430,5,1,124
149,151,6,3,81
150,4547,4,4,92
151,4721,5,4,496
152,1621,8,2,192
153,709,6,5,135
154,4406,2,1,82
155,2481,7,5,430
156,715,9,4,424
157,1465,5,2,248
158,4621,2,5,410
159,1262,3,4,520
160,4901,9,1,106
161,4770,5,4,496
162,4332,8,1,96
163,3646,2,4,328
164,4612,3,5,650
165,3744,4,5,115
166,1176,5,2,248
167,4806,5,5,620
168,87,9,1,106
169,2021,6,4,108
170,2558,2,1,82
171,1341,6,4,108
172,4106,5,4,496
173,3112,5,4,496
174,2513,1,4,448
175,4584,3,1,130
176,2283,9,5,530
177,2195,3,3,390
178,4833,2,3,246
179,1881,6,5,135
180,2226,3,5,650
181,633,2,4,328
182,2938,5,1,124
183,3774,3,4,520
184,534,2,1,82
185,2305,3,5,650
186,541,9,2,212
187,1016,8,5,480
188,69,4,1,23
189,4158,9,5,530
190,3883,6,1,27
191,2080,2,2,164
192,2128,6,3,81
193,3517,8,2,192
194,3179,6,3,81
195,948,3,1,130
196,3691,3,1,130
197,80,2,4,328
198,4683,9,1,106
199,1014,6,3,81
200,4932,5,2,248
201,4682,5,4,496
202,1870,6,4,108
203,4247,4,4,92
204,3387,6,1,27
205,2069,4,3,69
206,326,5,5,620
207,4567,9,4,424
208,2702,6,3,81
209,1134,4,3,69
210,2877,6,2,54
211,175,1,5,560
212,3650,1,4,448
213,500,6,3,81
214,3877,1,3,336
215,1486,9,1,106
216,4270,5,1,124
217,3356,4,5,115
218,543,8,3,288
219,2622,1,5,560
220,46,6,3,81
221,916,3,5,650
222,2572,1,5,560
223,4830,7,4,344
224,3544,3,2,260
225,2115,9,2,212
226,1826,5,3,372
227,4792,2,1,82
228,1686,4,5,115
229,3102,2,4,328
230,47,7,1,86
231,4738,7,5,430
232,3455,2,2,164
233,1618,9,1,106
234,69,9,1,106
235,4475,2,2,164
236,2268,3,5,650
237,2167,4,2,46
238,2725,6,5,135
239,4371,3,2,260
240,3898,2,4,328
241,571,5,3,372
242,3290,1,4,448
243,2446,5,5,620
244,606,4,5,115
245,1057,3,4,520
246,4519,5,4,496
247,609,9,2,212
248,4912,7,5,430
249,886,2,1,82
250,3708,2,2,164
251,4885,9,5,530
252,3961,6,5,135
253,1034,3,5,650
254,2132,6,3,81
255,774,2,3,246
256,3498,9,2,212
257,88,9,2,212
258,3240,1,1,112
259,4809,1,5,560
260,2894,9,5,530
261,746,4,1,23
262,1788,9,4,424
263,3553,4,3,69
264,1636,3,2,260
265,3307,6,1,27
266,3960,6,2,54
267,3364,1,2,224
268,3638,9,5,530
269,1161,7,4,344
270,1652,2,3,246
271,3437,6,1,27
272,596,7,2,172
273,2758,1,2,224
274,514,3,1,130
275,192,7,4,344
276,2924,5,1,124
277,1837,5,3,372
278,1115,9,4,424
279,851,4,2,46
280,3576,4,1,23
281,1749,5,2,248
282,4757,5,4,496
283,4640,2,2,164
284,280,7,3,258
285,2694,1,4,448
286,2846,2,1,82
287,3784,3,2,260
288,2244,4,4,92
289,2892,5,3,372
290,2461,2,1,82
291,3546,2,5,410
292,217,7,5,430
293,1414,5,4,496
294,1866,1,4,448
295,3198,9,4,424
296,283,5,1,124
297,3153,8,5,480
298,760,4,3,69
299,1167,7,3,258
300,2502,2,4,328
301,4201,5,4,496
302,323,3,1,130
303,2679,6,3,81
304,410,2,2,164
305,3239,5,2,248
306,2355,3,4,520
307,222,2,1,82
308,1999,4,1,23
309,1346,8,1,96
310,76,3,1,130
311,1108,6,2,54
312,2599,8,1,96
313,4989,9,5,530
314,168,3,4,520
315,4517,2,1,82
316,2227,7,1,86
317,2751,9,5,530
318,3539,2,1,82
319,862,9,3,318
320,3167,8,5,480
321,4335,4,3,69
322,4958,2,5,410
323,4528,9,1,106
324,3372,3,5,650
325,1113,8,2,192
326,869,2,1,82
327,1158,7,1,86
328,285,7,4,344
329,4945,3,3,390
330,394,7,1,86
331,1905,8,5,480
332,1463,9,3,318
333,3979,1,5,560
334,2105,3,5,650
335,3047,1,3,336
336,3615,7,4,344
337,788,2,2,164
338,3660,2,2,164
339,3755,2,2,164
340,666,8,3,288
341,4685,1,2,224
342,2116,2,3,246
343,1120,6,2,54
344,3725,4,1,23
345,370,2,3,246
346,415,1,3,336
347,1366,8,1,96
348,4345,6,4,108
349,4950,6,5,135
350,2890,4,1,23
351,1045,1,5,560
352,3785,2,1,82
353,3909,1,4,448
354,4758,3,4,520
355,3629,1,1,112
356,1856,4,2,46
357,3824,8,4,384
358,1603,5,4,496
359,3724,5,5,620
360,3560,6,1,27
361,1221,1,4,448
362,280,2,3,246
363,690,8,5,480
364,3615,2,2,164
365,1215,2,3,246
366,4972,6,5,135
367,2870,7,3,258
368,2507,7,5,430
